**Important Note:** There are only 10 DS3235 35KG servos left on Temu. I checked other suppliers: AliExpress only has 1 left or limits purchase to 1, Amazon is too expensive, and Alibaba charges a $76 shipping fee. I will start working with the 10 servos I have, and continue the project as more servos become available on Temu.

| Name | Amount | Links | Price per unit (CAD) | Total Price (CAD) |
|------|--------|-------|--------------------|-----------------|
| DS3235 35KG Servos | 21 | [Link](https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099593475365&sku_id=17592508570461&_oak_page_source=501&_x_sessn_id=x69c29neqw&refer_page_name=shopping_cart&refer_page_id=10037_1762211827144_d4t24whlzp&refer_page_sn=10037) | 27.64 | 580.44 |
| Ultrasonic sensor HCSR04 | 6 | [Link](https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099863463193&sku_id=17593636449682&_oak_page_source=501&_x_sessn_id=x69c29neqw&refer_page_name=shopping_cart&refer_page_id=10037_1762211827144_d4t24whlzp&refer_page_sn=10037) | 1.77 | 10.62 |
| 2S 5000mah 50C XT60 Lipo Battery | 1 | [Link](https://www.temu.com/goods.html?_bg_fs=1&goods_id=601100989351889&sku_id=17597884428406&_oak_page_source=501&_x_sessn_id=x69c29neqw&refer_page_name=shopping_cart&refer_page_id=10037_1762211827144_d4t24whlzp&refer_page_sn=10037) | 32 | 32 |
| Pololu Mini Maestro 24-Channel USB Servo Controller | 1 | [Link](https://www.canadarobotix.com/products/104?variant=14423512711217&country=CA&currency=CAD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqr4wzTY_vlF9PhXMPM8Q7zQIB1cbRX3JCdzXDNGX-3IMBaE5zMVqU) | 71 | 71 |
| Waveshare IMX219 Camera Module | 1 | [Link](https://www.amazon.ca/Waveshare-IMX219-Camera-Official-Raspberry/dp/B07H2D4WYR?source=ps-sl-shoppingads-lpcontext&psc=1&smid=A50C560NZEBBE&utm_source=chatgpt.com) | 22 | 22 |
| 200cm Portable Mini USB Mic | 1 | [Link](https://www.temu.com/ca/usb-wired-lavalier-microphone-clip-on-portable-microphone-suitable-for-mobile-live-streaming-recording-interviews-and--interview-recording-speech-capture-usb-microphone-discreet--minimalist-aesthetic-reliable-performance-g-601101097969240.html?_oak_name_id=7504110865771623192&_oak_mp_inf=ENjMrIus1ogBGiA1MjY2ZjE2MDU0M2Y0MGU1YmM4ZTc1Y2EwZjQ2ZTU1MSDsnKbgpDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F805d19e49ff746a6b95d798b20e701f3-goods.jpeg&spec_gallery_id=7478636938&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NTY5&_oak_gallery_order=108184551%2C1940984002%2C411923539%2C1149918564%2C1071079750&search_key=200cm%20Portable%20Mini%20USB%20Mic&refer_page_el_sn=200049&_x_sessn_id=x69c29neqw&refer_page_name=search_result&refer_page_id=10009_1762212286318_ws711togfj) | 3 | 3 |
| Mini Portable Travel Loud Speaker | 1 | [Link](https://www.temu.com/ca/high-quality-speaker-portable-wireless-speaker-with-suction-cup-usb-black-speaker-with-2-hours--3-7v-400mah-battery-5-0-wireless-version-life-for-parties-bathroom--and-outdoor-suction-cups--on-a--to-g-601099515448150.html?_oak_name_id=1635392872249680943&_oak_mp_inf=ENaW35im1ogBGiBjNDNiZWQ4OTI3OTM0ZTRmODBjNWNiNjJlMDg2M2UxNiCWw6rgpDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F2ad14ed4026fedbee4bb895cc90905eb.jpg&spec_gallery_id=19087609&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Njg3&_oak_gallery_order=1481099794%2C1770223921%2C510644737%2C1939286422%2C452539296&search_key=Mini%20Portable%20Travel%20Loud%20Speaker%20with%20usb%20a&refer_page_el_sn=200049&_x_sessn_id=x69c29neqw&refer_page_name=search_result&refer_page_id=10009_1762212356731_88k9pxmfv4) | 6 | 6 |
| Logitech g f310s | 1 | [Link](https://www.logitechg.com/en-ca/shop/p/f310-gamepad) | 30 | 30 |
| HTRC iMAX B6 80W Battery Charger | 1 | [Link](https://www.temu.com/ca/-b6-mini-professional-balance-charger-discharger-with-power-supply-for-1s-6s-lipo--life-nicd-nimh-pb-rc-battery-battery-maintenance-power-supply-charger-portable-charger-lightweight-charger--components-g-601102370158333.html?_oak_mp_inf=EP3t%2FOmw1ogBGiA3ZTBhYWYwMzY1Yjg0MjIzYjhmNDg3NjNlNTk5OWYxNCCglq7gpDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F816a4ddf-d81a-45cf-a8b8-96df070387d2.jpg&spec_gallery_id=19768029506&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjE3NQ&_oak_gallery_order=948682730%2C593859747%2C2030269782%2C716091656%2C2101591098&search_key=HTRC%20iMAX%20B6%2080W%20Battery%20Charger&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1762212286318_ws711togfj&_x_sessn_id=x69c29neqw) | 21 | 21 |
